f_effective Mass
0.0239969819607 7.21576230803e-10
0.0774173741285 8.16316504119e-10
0.190981890404 6.83631722707e-09
0.304397097487 1.04198556251e-08
0.375109121493 2.18707306351e-08
0.463564504212 2.30253723588e-08
0.489753131539 3.87906502311e-08
0.569764481385 6.42811508211e-08
0.802259678461 7.27112205418e-08
0.920000355512 1.19439046492e-07
0.953442233488 1.36708083649e-07
0.986554941938 1.43445818833e-07
1.10185554089 1.67351755248e-07
1.14990976796 2.13113120274e-07
1.20561034979 2.28907683851e-07
1.23569535001 2.75637913621e-07
1.35781952142 3.14177793591e-07
1.50801061085 3.21757018367e-07
1.5625274237 3.62186909601e-07
1.63097269739 4.36520495353e-07
1.78858732089 4.61221344268e-07
1.85157491144 5.72707215229e-07
1.90316531789 6.25493174952e-07
1.99842973367 7.44866854303e-07
2.03777350794 8.32233250949e-07
2.20020039025 8.87384112233e-07
2.23738007659 9.81835047544e-07
2.33608005729 1.03006692953e-06
2.3971701459 1.04371777883e-06
2.45415307468 1.16920298753e-06
2.60227752222 1.27138860718e-06
2.72388073427 1.31590105914e-06
2.75128474433 1.35934230748e-06
2.78548595281 1.48342167373e-06
2.86231323698 1.56048587674e-06
2.93475354585 1.58647166432e-06
3.00484275885 1.80382041442e-06
3.18336757031 1.92207585236e-06
3.3580117811 2.05016399549e-06
3.39571299515 2.20537004357e-06
3.50714821772 2.35884214755e-06
3.53267206053 2.38213653487e-06
3.62956890929 2.47641519495e-06
3.6548561256 2.68761017395e-06
3.75588813023 2.74086866094e-06
3.78956155255 2.89124268781e-06
3.94379556352 2.96991174706e-06
4.02204555648 3.10022096154e-06
4.13142665576 3.23288518093e-06
4.25834572447 3.48234569356e-06
4.36426325451 3.574894795e-06
4.39143778221 3.6704716495e-06
4.42205591841 3.864868128e-06
4.5250725447 3.96935310005e-06
4.67532768018 4.20455483211e-06
4.7364253219 4.22223412764e-06
4.78605728089 4.42567600789e-06
4.88150694679 4.50721605322e-06
4.98631541767 4.65403202676e-06
4.99314876159 4.71978165721e-06
5.10612013385 4.98360738569e-06
5.24673213488 5.37340133136e-06
5.3031794549 5.44719184689e-06
5.38600672246 5.53756166239e-06
5.49615634052 5.6896805752e-06
5.55156604187 5.95920100648e-06
5.6253722152 6.01420738393e-06
5.67222972602 6.2170089032e-06
5.76567181666 6.39231095433e-06
5.79736718463 6.47214526991e-06
5.87129608082 6.55215226415e-06
5.95283588021 6.73782101269e-06
6.16334188435 7.01316913902e-06
6.23096676463 7.31243811761e-06
6.27801571367 7.77163736613e-06
6.38666854273 7.87401784518e-06
6.44270333827 7.94693512169e-06
6.60038010649 8.22062378612e-06
6.67724196333 8.6898328874e-06
6.75814204285 8.96058511032e-06
6.84105487169 9.12720066446e-06
6.97568753389 9.3911657507e-06
7.06542078897 9.53645153061e-06
7.17340387036 9.71663369033e-06
7.20045671065 9.90087333025e-06
7.24837527184 1.03403110983e-05
7.26716140508 1.05123610677e-05
7.3692091811 1.06526400318e-05
7.46330232163 1.09175085989e-05
7.61652948622 1.09908576184e-05
7.65935917358 1.11592657161e-05
7.677119939 1.13659912301e-05
7.77011651718 1.16899406576e-05
7.9148043516 1.18714560077e-05
8.03976286989 1.20934288242e-05
8.15075126679 1.231189062e-05
8.21860244956 1.28408932159e-05
8.35167407876 1.29727969731e-05
8.39256834865 1.33207512043e-05
8.5366479253 1.36687052939e-05
8.6313536321 1.39563935775e-05
8.67696480699 1.42519001674e-05
8.72846301784 1.45336457732e-05
8.87218377397 1.47561013216e-05
8.93653738634 1.49675389579e-05
8.98380871374 1.5416678365e-05
9.01403895404 1.56767874895e-05
9.21274289105 1.6072547677e-05
9.30604671602 1.640302319e-05
9.35987567642 1.67299186744e-05
9.42187161409 1.69276041088e-05
9.49585616503 1.7374728607e-05
9.62090950774 1.76125808734e-05
9.66892955818 1.7999335885e-05
9.7332760648 1.83151403857e-05
9.82767212468 1.87241844272e-05
9.93085328531 1.89076575531e-05
9.97681313307 1.92459887612e-05
10.0557241874 1.93947615326e-05
10.2047821184 1.95840936352e-05
10.3095614273 2.00377869652e-05
10.3755819903 2.07189556248e-05
10.4948697645 2.09561949232e-05
10.5032191464 2.13732785347e-05
10.5819559037 2.15314525183e-05
10.7102474837 2.18081211997e-05
10.7270133699 2.24139117987e-05
10.9067564004 2.26167364351e-05
10.9346576574 2.29325418703e-05
10.9713106033 2.32748299575e-05
11.1511942831 2.37304559695e-05
11.1878764234 2.40923944455e-05
11.2926993661 2.46409234357e-05
11.3379596992 2.5114708149e-05
11.4430468077 2.56589863262e-05
11.5275444278 2.59327408992e-05
11.6099077498 2.62873304342e-05
11.6554683488 2.67280472314e-05
11.7241130997 2.70481145117e-05
11.8473851871 2.73203983559e-05
11.930114997 2.77324902869e-05
12.0967416674 2.81451980732e-05
12.1589881952 2.88344158238e-05
12.2316607254 2.94212683194e-05
12.3154697595 2.96512130583e-05
12.4779889159 3.0220080494e-05
12.4990100436 3.04093209537e-05
12.5973438872 3.07954432699e-05
12.7199861755 3.13671135552e-05
12.8169364108 3.18401957673e-05
12.8318365423 3.24214769847e-05
12.8882689183 3.2870918353e-05
13.0310207506 3.30730202297e-05
13.1061636982 3.3519976225e-05
13.1749574624 3.40410165728e-05
13.3162456337 3.46457312453e-05
13.367040275 3.48989681779e-05
13.5402826498 3.50484307258e-05
13.570033152 3.62644937258e-05
13.7049929019 3.67548185573e-05
13.7487430404 3.71916293637e-05
13.8170599602 3.7714880855e-05
13.8238414081 3.80107121458e-05
13.921244985 3.82713330801e-05
